# timestamp [ms], type, package_type, source, dest, package_size
581,SEND,DATA,AB,AD,1
662,RECEIVE,ACK,AD,AB,0
763,SEND,DATA,AB,AD,0
844,RECEIVE,ACK,AD,AB,0
953,SEND,DATA,AB,AD,1
1034,RECEIVE,ACK,AD,AB,0
1132,SEND,DATA,AB,AD,0
1324,SEND,DATA_RETRY,AB,AD,0
1405,RECEIVE,ACK,AD,AB,0
1500,SEND,DATA,AB,AD,0
1692,SEND,DATA_RETRY,AB,AD,0
1773,RECEIVE,ACK,AD,AB,0
1876,SEND,DATA,AB,AD,0
1957,RECEIVE,ACK,AD,AB,0
2052,SEND,DATA,AB,AD,0
2133,RECEIVE,ACK,AD,AB,0
2228,SEND,DATA,AB,AD,0
2309,RECEIVE,ACK,AD,AB,0
2411,SEND,DATA,AB,AD,0
2492,RECEIVE,ACK,AD,AB,0
2592,SEND,DATA,AB,AD,0
2783,SEND,DATA_RETRY,AB,AD,0
2864,RECEIVE,ACK,AD,AB,0
2973,SEND,DATA,AB,AD,0
3054,RECEIVE,ACK,AD,AB,0
3164,SEND,DATA,AB,AD,1
3351,SEND,DATA_RETRY,AB,AD,1
3432,RECEIVE,ACK,AD,AB,0
3530,SEND,DATA,AB,AD,0
3611,RECEIVE,ACK,AD,AB,0
3719,SEND,DATA,AB,AD,1
3800,RECEIVE,ACK,AD,AB,0
3895,SEND,DATA,AB,AD,0
3976,RECEIVE,ACK,AD,AB,0
4071,SEND,DATA,AB,AD,0
4152,RECEIVE,ACK,AD,AB,0
4249,SEND,DATA,AB,AD,0
4330,RECEIVE,ACK,AD,AB,0
4437,SEND,DATA,AB,AD,1
4518,RECEIVE,ACK,AD,AB,0
4616,SEND,DATA,AB,AD,0
4697,RECEIVE,ACK,AD,AB,0
4804,SEND,DATA,AB,AD,1
4885,RECEIVE,ACK,AD,AB,0
4996,SEND,DATA,AB,AD,1
5077,RECEIVE,ACK,AD,AB,0
5185,SEND,DATA,AB,AD,1
5266,RECEIVE,ACK,AD,AB,0
5368,SEND,DATA,AB,AD,0
5449,RECEIVE,ACK,AD,AB,0
5554,SEND,DATA,AB,AD,1
5635,RECEIVE,ACK,AD,AB,0
5733,SEND,DATA,AB,AD,0
5814,RECEIVE,ACK,AD,AB,0
5922,SEND,DATA,AB,AD,1
6003,RECEIVE,ACK,AD,AB,0
6100,SEND,DATA,AB,AD,0
6181,RECEIVE,ACK,AD,AB,0
6291,SEND,DATA,AB,AD,1
6372,RECEIVE,ACK,AD,AB,0
6479,SEND,DATA,AB,AD,1
6560,RECEIVE,ACK,AD,AB,0
6669,SEND,DATA,AB,AD,1
6750,RECEIVE,ACK,AD,AB,0
6857,SEND,DATA,AB,AD,1
6938,RECEIVE,ACK,AD,AB,0
7054,SEND,DATA,AB,AD,1
7135,RECEIVE,ACK,AD,AB,0
7235,SEND,DATA,AB,AD,0
7316,RECEIVE,ACK,AD,AB,0
7425,SEND,DATA,AB,AD,1
7506,RECEIVE,ACK,AD,AB,0
7607,SEND,DATA,AB,AD,0
7688,RECEIVE,ACK,AD,AB,0
7807,SEND,DATA,AB,AD,1
7888,RECEIVE,ACK,AD,AB,0
8006,SEND,DATA,AB,AD,1
8087,RECEIVE,ACK,AD,AB,0
8188,SEND,DATA,AB,AD,0
8269,RECEIVE,ACK,AD,AB,0
8377,SEND,DATA,AB,AD,1
8458,RECEIVE,ACK,AD,AB,0
8559,SEND,DATA,AB,AD,0
8640,RECEIVE,ACK,AD,AB,0
8752,SEND,DATA,AB,AD,1
8833,RECEIVE,ACK,AD,AB,0
8939,SEND,DATA,AB,AD,1
9020,RECEIVE,ACK,AD,AB,0
9129,SEND,DATA,AB,AD,1
9330,SEND,DATA_RETRY,AB,AD,1
9527,SEND,DATA_RETRY,AB,AD,1
9608,RECEIVE,ACK,AD,AB,0
9716,SEND,DATA,AB,AD,0
9797,RECEIVE,ACK,AD,AB,0
9907,SEND,DATA,AB,AD,1
9988,RECEIVE,ACK,AD,AB,0
10084,SEND,DATA,AB,AD,0
10165,RECEIVE,ACK,AD,AB,0
10270,SEND,DATA,AB,AD,1
10351,RECEIVE,ACK,AD,AB,0
10451,SEND,DATA,AB,AD,0
10532,RECEIVE,ACK,AD,AB,0
10644,SEND,DATA,AB,AD,1
10725,RECEIVE,ACK,AD,AB,0
10833,SEND,DATA,AB,AD,1
10914,RECEIVE,ACK,AD,AB,0
11011,SEND,DATA,AB,AD,0
11200,SEND,DATA_RETRY,AB,AD,0
11281,RECEIVE,ACK,AD,AB,0
11388,SEND,DATA,AB,AD,1
11469,RECEIVE,ACK,AD,AB,0
11567,SEND,DATA,AB,AD,0
11648,RECEIVE,ACK,AD,AB,0
11753,SEND,DATA,AB,AD,1
11834,RECEIVE,ACK,AD,AB,0
11931,SEND,DATA,AB,AD,0
12012,RECEIVE,ACK,AD,AB,0
12120,SEND,DATA,AB,AD,1
12201,RECEIVE,ACK,AD,AB,0
12311,SEND,DATA,AB,AD,1
12392,RECEIVE,ACK,AD,AB,0
12496,SEND,DATA,AB,AD,1
12577,RECEIVE,ACK,AD,AB,0
12675,SEND,DATA,AB,AD,0
12756,RECEIVE,ACK,AD,AB,0
12867,SEND,DATA,AB,AD,1
12948,RECEIVE,ACK,AD,AB,0
13054,SEND,DATA,AB,AD,1
13135,RECEIVE,ACK,AD,AB,0
13240,SEND,DATA,AB,AD,1
13321,RECEIVE,ACK,AD,AB,0
13416,SEND,DATA,AB,AD,0
13497,RECEIVE,ACK,AD,AB,0
13592,SEND,DATA,AB,AD,0
13789,SEND,DATA_RETRY,AB,AD,0
13870,RECEIVE,ACK,AD,AB,0
13968,SEND,DATA,AB,AD,0
14049,RECEIVE,ACK,AD,AB,0
14145,SEND,DATA,AB,AD,0
14226,RECEIVE,ACK,AD,AB,0
14327,SEND,DATA,AB,AD,0
14408,RECEIVE,ACK,AD,AB,0
14511,SEND,DATA,AB,AD,0
14592,RECEIVE,ACK,AD,AB,0
14702,SEND,DATA,AB,AD,1
14783,RECEIVE,ACK,AD,AB,0
14894,SEND,DATA,AB,AD,1
14975,RECEIVE,ACK,AD,AB,0
15083,SEND,DATA,AB,AD,1
15164,RECEIVE,ACK,AD,AB,0
15267,SEND,DATA,AB,AD,0
15348,RECEIVE,ACK,AD,AB,0
15452,SEND,DATA,AB,AD,1
15533,RECEIVE,ACK,AD,AB,0
15632,SEND,DATA,AB,AD,0
15713,RECEIVE,ACK,AD,AB,0
15825,SEND,DATA,AB,AD,0
15906,RECEIVE,ACK,AD,AB,0
16012,SEND,DATA,AB,AD,1
16093,RECEIVE,ACK,AD,AB,0
16191,SEND,DATA,AB,AD,0
16272,RECEIVE,ACK,AD,AB,0
16372,SEND,DATA,AB,AD,0
16453,RECEIVE,ACK,AD,AB,0
16554,SEND,DATA,AB,AD,0
16741,SEND,DATA_RETRY,AB,AD,0
16822,RECEIVE,ACK,AD,AB,0
16932,SEND,DATA,AB,AD,1
17013,RECEIVE,ACK,AD,AB,0
17111,SEND,DATA,AB,AD,0
17192,RECEIVE,ACK,AD,AB,0
17294,SEND,DATA,AB,AD,0
17375,RECEIVE,ACK,AD,AB,0
17470,SEND,DATA,AB,AD,0
17551,RECEIVE,ACK,AD,AB,0
17649,SEND,DATA,AB,AD,0
