# timestamp [ms], type, package_type, source, dest, package_size
1733,SEND,DATA,AD,AB,150
1814,RECEIVE,ACK,AB,AD,0
3108,SEND,DATA,AD,AB,148
3189,RECEIVE,ACK,AB,AD,0
4264,SEND,DATA,AD,AB,121
4345,RECEIVE,ACK,AB,AD,0
5460,SEND,DATA,AD,AB,126
5541,RECEIVE,ACK,AB,AD,0
6827,SEND,DATA,AD,AB,147
6908,RECEIVE,ACK,AB,AD,0
8218,SEND,DATA,AD,AB,150
8299,RECEIVE,ACK,AB,AD,0
9578,SEND,DATA,AD,AB,146
9659,RECEIVE,ACK,AB,AD,0
10952,SEND,DATA,AD,AB,148
11033,RECEIVE,ACK,AB,AD,0
12301,SEND,DATA,AD,AB,145
12382,RECEIVE,ACK,AB,AD,0
13500,SEND,DATA,AD,AB,126
13583,RECEIVE,ACK,AB,AD,0
14722,SEND,DATA,AD,AB,129
14803,RECEIVE,ACK,AB,AD,0
16096,SEND,DATA,AD,AB,148
16178,RECEIVE,ACK,AB,AD,0
17492,SEND,DATA,AD,AB,150
17574,RECEIVE,ACK,AB,AD,0
18828,SEND,DATA,AD,AB,143
18909,RECEIVE,ACK,AB,AD,0
20220,SEND,DATA,AD,AB,150
20301,RECEIVE,ACK,AB,AD,0
21362,SEND,DATA,AD,AB,119
21443,RECEIVE,ACK,AB,AD,0
22755,SEND,DATA,AD,AB,150
22836,RECEIVE,ACK,AB,AD,0
24147,SEND,DATA,AD,AB,150
24228,RECEIVE,ACK,AB,AD,0
25280,SEND,DATA,AD,AB,118
25361,RECEIVE,ACK,AB,AD,0
26671,SEND,DATA,AD,AB,150
26752,RECEIVE,ACK,AB,AD,0
27942,SEND,DATA,AD,AB,135
28023,RECEIVE,ACK,AB,AD,0
29204,SEND,DATA,AD,AB,134
29286,RECEIVE,ACK,AB,AD,0
30434,SEND,DATA,AD,AB,130
30515,RECEIVE,ACK,AB,AD,0
31752,SEND,DATA,AD,AB,141
31833,RECEIVE,ACK,AB,AD,0
33143,SEND,DATA,AD,AB,150
33224,RECEIVE,ACK,AB,AD,0
34534,SEND,DATA,AD,AB,150
34615,RECEIVE,ACK,AB,AD,0
35732,SEND,DATA,AD,AB,126
35813,RECEIVE,ACK,AB,AD,0
36879,SEND,DATA,AD,AB,120
36960,RECEIVE,ACK,AB,AD,0
38206,SEND,DATA,AD,AB,142
38287,RECEIVE,ACK,AB,AD,0
39581,SEND,DATA,AD,AB,148
39662,RECEIVE,ACK,AB,AD,0
40772,SEND,DATA,AD,AB,125
40853,RECEIVE,ACK,AB,AD,0
42162,SEND,DATA,AD,AB,150
42243,RECEIVE,ACK,AB,AD,0
43528,SEND,DATA,AD,AB,147
43609,RECEIVE,ACK,AB,AD,0
44773,SEND,DATA,AD,AB,132
44854,RECEIVE,ACK,AB,AD,0
46165,SEND,DATA,AD,AB,150
46246,RECEIVE,ACK,AB,AD,0
47557,SEND,DATA,AD,AB,150
47638,RECEIVE,ACK,AB,AD,0
48844,SEND,DATA,AD,AB,137
48925,RECEIVE,ACK,AB,AD,0
50211,SEND,DATA,AD,AB,147
50292,RECEIVE,ACK,AB,AD,0
51604,SEND,DATA,AD,AB,150
51685,RECEIVE,ACK,AB,AD,0
52995,SEND,DATA,AD,AB,150
53076,RECEIVE,ACK,AB,AD,0
54337,SEND,DATA,AD,AB,144
54418,RECEIVE,ACK,AB,AD,0
55525,SEND,DATA,AD,AB,125
55606,RECEIVE,ACK,AB,AD,0
56793,SEND,DATA,AD,AB,135
56874,RECEIVE,ACK,AB,AD,0
58014,SEND,DATA,AD,AB,129
58095,RECEIVE,ACK,AB,AD,0
59341,SEND,DATA,AD,AB,142
59422,RECEIVE,ACK,AB,AD,0
60659,SEND,DATA,AD,AB,141
60740,RECEIVE,ACK,AB,AD,0
62053,SEND,DATA,AD,AB,150
62134,RECEIVE,ACK,AB,AD,0
