# delay [ms], bytes_sent
81,50
81,44
81,38
81,42
81,28
81,46
81,50
652,49
1034,37
81,39
81,48
81,35
81,50
81,43
81,50
660,50
81,38
662,50
81,43
81,50
81,24
81,31
81,50
444,23
81,43
81,21
453,24
81,20
81,29
81,45
81,38
81,50
81,49
1071,39
81,45
81,26
81,50
81,50
1246,50
81,29
81,40
81,50
81,50
81,31
81,50
541,35
81,29
662,50
81,47
81,33
81,50
81,50
81,20
81,28
81,43
81,23
494,29
81,50
81,27
81,50
1034,37
661,50
81,50
501,30
81,50
81,24
614,43
81,40
81,30
81,50
81,43
81,29
81,50
81,31
81,50
81,30
81,23
81,35
663,50
660,50
81,50
422,20
660,50
81,50
81,43
81,50
81,50
588,41
81,22
81,41
663,50
444,23
662,50
81,23
81,30
81,50
81,50
