# timestamp [ms], type, package_type, source, dest, package_size
601,SEND,DATA,AD,AB,10
682,RECEIVE,ACK,AB,AD,0
779,SEND,DATA,AD,AB,0
860,RECEIVE,ACK,AB,AD,0
983,SEND,DATA,AD,AB,3
1064,RECEIVE,ACK,AB,AD,0
1201,SEND,DATA,AD,AB,5
1282,RECEIVE,ACK,AB,AD,0
1379,SEND,DATA,AD,AB,0
1460,RECEIVE,ACK,AB,AD,0
1636,SEND,DATA,AD,AB,10
1717,RECEIVE,ACK,AB,AD,0
1896,SEND,DATA,AD,AB,10
1977,RECEIVE,ACK,AB,AD,0
2073,SEND,DATA,AD,AB,0
2154,RECEIVE,ACK,AB,AD,0
2333,SEND,DATA,AD,AB,10
2414,RECEIVE,ACK,AB,AD,0
2509,SEND,DATA,AD,AB,0
2590,RECEIVE,ACK,AB,AD,0
2686,SEND,DATA,AD,AB,0
2767,RECEIVE,ACK,AB,AD,0
2948,SEND,DATA,AD,AB,10
3029,RECEIVE,ACK,AB,AD,0
3207,SEND,DATA,AD,AB,10
3288,RECEIVE,ACK,AB,AD,0
3385,SEND,DATA,AD,AB,0
3466,RECEIVE,ACK,AB,AD,0
3646,SEND,DATA,AD,AB,10
3727,RECEIVE,ACK,AB,AD,0
3904,SEND,DATA,AD,AB,10
3985,RECEIVE,ACK,AB,AD,0
4163,SEND,DATA,AD,AB,10
4244,RECEIVE,ACK,AB,AD,0
4342,SEND,DATA,AD,AB,0
4423,RECEIVE,ACK,AB,AD,0
4546,SEND,DATA,AD,AB,3
4627,RECEIVE,ACK,AB,AD,0
4796,SEND,DATA,AD,AB,9
4877,RECEIVE,ACK,AB,AD,0
5024,SEND,DATA,AD,AB,6
5105,RECEIVE,ACK,AB,AD,0
5284,SEND,DATA,AD,AB,10
5365,RECEIVE,ACK,AB,AD,0
5546,SEND,DATA,AD,AB,10
5627,RECEIVE,ACK,AB,AD,0
5806,SEND,DATA,AD,AB,10
5887,RECEIVE,ACK,AB,AD,0
5984,SEND,DATA,AD,AB,0
6065,RECEIVE,ACK,AB,AD,0
6243,SEND,DATA,AD,AB,10
6324,RECEIVE,ACK,AB,AD,0
6420,SEND,DATA,AD,AB,0
6501,RECEIVE,ACK,AB,AD,0
6598,SEND,DATA,AD,AB,0
6679,RECEIVE,ACK,AB,AD,0
6774,SEND,DATA,AD,AB,0
6855,RECEIVE,ACK,AB,AD,0
6953,SEND,DATA,AD,AB,0
7034,RECEIVE,ACK,AB,AD,0
7189,SEND,DATA,AD,AB,7
7270,RECEIVE,ACK,AB,AD,0
7450,SEND,DATA,AD,AB,10
7531,RECEIVE,ACK,AB,AD,0
7711,SEND,DATA,AD,AB,10
7792,RECEIVE,ACK,AB,AD,0
7889,SEND,DATA,AD,AB,0
7970,RECEIVE,ACK,AB,AD,0
8150,SEND,DATA,AD,AB,10
8231,RECEIVE,ACK,AB,AD,0
8392,SEND,DATA,AD,AB,8
8473,RECEIVE,ACK,AB,AD,0
8571,SEND,DATA,AD,AB,0
8652,RECEIVE,ACK,AB,AD,0
8829,SEND,DATA,AD,AB,10
8910,RECEIVE,ACK,AB,AD,0
9005,SEND,DATA,AD,AB,0
9086,RECEIVE,ACK,AB,AD,0
9183,SEND,DATA,AD,AB,0
9264,RECEIVE,ACK,AB,AD,0
9441,SEND,DATA,AD,AB,10
9522,RECEIVE,ACK,AB,AD,0
9699,SEND,DATA,AD,AB,10
9780,RECEIVE,ACK,AB,AD,0
9893,SEND,DATA,AD,AB,2
9974,RECEIVE,ACK,AB,AD,0
10070,SEND,DATA,AD,AB,0
10151,RECEIVE,ACK,AB,AD,0
10329,SEND,DATA,AD,AB,10
10410,RECEIVE,ACK,AB,AD,0
10505,SEND,DATA,AD,AB,0
10586,RECEIVE,ACK,AB,AD,0
10681,SEND,DATA,AD,AB,0
10762,RECEIVE,ACK,AB,AD,0
10859,SEND,DATA,AD,AB,0
10940,RECEIVE,ACK,AB,AD,0
11095,SEND,DATA,AD,AB,7
11176,RECEIVE,ACK,AB,AD,0
11355,SEND,DATA,AD,AB,10
11436,RECEIVE,ACK,AB,AD,0
