# timestamp [ms], type, package_type, source, dest, package_size
1378,SEND,DATA,AB,AD,100
1459,RECEIVE,ACK,AD,AB,0
2362,SEND,DATA,AB,AD,100
2443,RECEIVE,ACK,AD,AB,0
3347,SEND,DATA,AB,AD,100
3428,RECEIVE,ACK,AD,AB,0
4331,SEND,DATA,AB,AD,100
4412,RECEIVE,ACK,AD,AB,0
5313,SEND,DATA,AB,AD,100
5394,RECEIVE,ACK,AD,AB,0
6296,SEND,DATA,AB,AD,100
7277,SEND,DATA_RETRY,AB,AD,100
7358,RECEIVE,ACK,AD,AB,0
8275,SEND,DATA,AB,AD,100
9253,SEND,DATA_RETRY,AB,AD,100
9334,RECEIVE,ACK,AD,AB,0
10236,SEND,DATA,AB,AD,100
10317,RECEIVE,ACK,AD,AB,0
11073,SEND,DATA,AB,AD,82
11154,RECEIVE,ACK,AD,AB,0
11967,SEND,DATA,AB,AD,89
12048,RECEIVE,ACK,AD,AB,0
12951,SEND,DATA,AB,AD,100
13032,RECEIVE,ACK,AD,AB,0
13933,SEND,DATA,AB,AD,100
14014,RECEIVE,ACK,AD,AB,0
14922,SEND,DATA,AB,AD,100
15003,RECEIVE,ACK,AD,AB,0
15906,SEND,DATA,AB,AD,100
15987,RECEIVE,ACK,AD,AB,0
16892,SEND,DATA,AB,AD,100
16973,RECEIVE,ACK,AD,AB,0
17874,SEND,DATA,AB,AD,100
18854,SEND,DATA_RETRY,AB,AD,100
18935,RECEIVE,ACK,AD,AB,0
19835,SEND,DATA,AB,AD,100
19916,RECEIVE,ACK,AD,AB,0
20816,SEND,DATA,AB,AD,100
20897,RECEIVE,ACK,AD,AB,0
21797,SEND,DATA,AB,AD,100
21878,RECEIVE,ACK,AD,AB,0
22781,SEND,DATA,AB,AD,100
22862,RECEIVE,ACK,AD,AB,0
23763,SEND,DATA,AB,AD,100
23844,RECEIVE,ACK,AD,AB,0
24744,SEND,DATA,AB,AD,100
24825,RECEIVE,ACK,AD,AB,0
25717,SEND,DATA,AB,AD,99
25798,RECEIVE,ACK,AD,AB,0
26684,SEND,DATA,AB,AD,98
27644,SEND,DATA_RETRY,AB,AD,98
27725,RECEIVE,ACK,AD,AB,0
28399,SEND,DATA,AB,AD,72
28480,RECEIVE,ACK,AD,AB,0
29383,SEND,DATA,AB,AD,100
30364,SEND,DATA_RETRY,AB,AD,100
31342,SEND,DATA_RETRY,AB,AD,100
32325,SEND,DATA_RETRY,AB,AD,100
32406,RECEIVE,ACK,AD,AB,0
33308,SEND,DATA,AB,AD,100
33389,RECEIVE,ACK,AD,AB,0
34089,SEND,DATA,AB,AD,75
34170,RECEIVE,ACK,AD,AB,0
34862,SEND,DATA,AB,AD,74
34943,RECEIVE,ACK,AD,AB,0
35844,SEND,DATA,AB,AD,100
36824,SEND,DATA_RETRY,AB,AD,100
36905,RECEIVE,ACK,AD,AB,0
37806,SEND,DATA,AB,AD,100
37887,RECEIVE,ACK,AD,AB,0
38789,SEND,DATA,AB,AD,100
38870,RECEIVE,ACK,AD,AB,0
39538,SEND,DATA,AB,AD,71
39619,RECEIVE,ACK,AD,AB,0
40522,SEND,DATA,AB,AD,100
40603,RECEIVE,ACK,AD,AB,0
41254,SEND,DATA,AB,AD,69
41335,RECEIVE,ACK,AD,AB,0
42237,SEND,DATA,AB,AD,100
43218,SEND,DATA_RETRY,AB,AD,100
43299,RECEIVE,ACK,AD,AB,0
44200,SEND,DATA,AB,AD,100
44281,RECEIVE,ACK,AD,AB,0
44941,SEND,DATA,AB,AD,70
45022,RECEIVE,ACK,AD,AB,0
45923,SEND,DATA,AB,AD,100
46905,SEND,DATA_RETRY,AB,AD,100
47891,SEND,DATA_RETRY,AB,AD,100
48880,SEND,DATA_RETRY,AB,AD,100
49875,SEND,DATA,AB,AD,100
49956,RECEIVE,ACK,AD,AB,0
50857,SEND,DATA,AB,AD,100
51835,SEND,DATA_RETRY,AB,AD,100
51916,RECEIVE,ACK,AD,AB,0
52824,SEND,DATA,AB,AD,100
52905,RECEIVE,ACK,AD,AB,0
53806,SEND,DATA,AB,AD,100
53887,RECEIVE,ACK,AD,AB,0
54787,SEND,DATA,AB,AD,100
55765,SEND,DATA_RETRY,AB,AD,100
56752,SEND,DATA_RETRY,AB,AD,100
56833,RECEIVE,ACK,AD,AB,0
57734,SEND,DATA,AB,AD,100
57815,RECEIVE,ACK,AD,AB,0
58677,SEND,DATA,AB,AD,95
58758,RECEIVE,ACK,AD,AB,0
59658,SEND,DATA,AB,AD,100
60633,SEND,DATA_RETRY,AB,AD,100
60714,RECEIVE,ACK,AD,AB,0
61479,SEND,DATA,AB,AD,83
61560,RECEIVE,ACK,AD,AB,0
62343,SEND,DATA,AB,AD,85
