# timestamp [ms], type, package_type, source, dest, package_size
2170,SEND,DATA,AB,AD,197
3939,SEND,DATA_RETRY,AB,AD,197
5700,SEND,DATA_RETRY,AB,AD,197
7456,SEND,DATA_RETRY,AB,AD,197
9268,SEND,DATA,AB,AD,197
11027,SEND,DATA_RETRY,AB,AD,197
11109,RECEIVE,ACK,AD,AB,0
12760,SEND,DATA,AB,AD,192
14476,SEND,DATA_RETRY,AB,AD,192
16206,SEND,DATA_RETRY,AB,AD,192
17953,SEND,DATA_RETRY,AB,AD,192
18035,RECEIVE,ACK,AD,AB,0
19721,SEND,DATA,AB,AD,196
21469,SEND,DATA_RETRY,AB,AD,196
23229,SEND,DATA_RETRY,AB,AD,196
24989,SEND,DATA_RETRY,AB,AD,196
26769,SEND,DATA,AB,AD,197
26851,RECEIVE,ACK,AD,AB,0
28546,SEND,DATA,AB,AD,197
28628,RECEIVE,ACK,AD,AB,0
30322,SEND,DATA,AB,AD,197
30404,RECEIVE,ACK,AD,AB,0
32107,SEND,DATA,AB,AD,197
33875,SEND,DATA_RETRY,AB,AD,197
35648,SEND,DATA_RETRY,AB,AD,197
37411,SEND,DATA_RETRY,AB,AD,197
39191,SEND,DATA,AB,AD,197
40948,SEND,DATA_RETRY,AB,AD,197
41030,RECEIVE,ACK,AD,AB,0
42722,SEND,DATA,AB,AD,197
44478,SEND,DATA_RETRY,AB,AD,197
44560,RECEIVE,ACK,AD,AB,0
46041,SEND,DATA,AB,AD,171
46122,RECEIVE,ACK,AD,AB,0
47815,SEND,DATA,AB,AD,197
47897,RECEIVE,ACK,AD,AB,0
49595,SEND,DATA,AB,AD,197
49677,RECEIVE,ACK,AD,AB,0
51175,SEND,DATA,AB,AD,173
51256,RECEIVE,ACK,AD,AB,0
52953,SEND,DATA,AB,AD,197
54722,SEND,DATA_RETRY,AB,AD,197
56480,SEND,DATA_RETRY,AB,AD,197
58239,SEND,DATA_RETRY,AB,AD,197
60029,SEND,DATA,AB,AD,197
61791,SEND,DATA_RETRY,AB,AD,197
61873,RECEIVE,ACK,AD,AB,0
