# timestamp [ms], type, package_type, source, dest, package_size
2173,SEND,DATA,AB,AD,197
2255,RECEIVE,ACK,AD,AB,0
3945,SEND,DATA,AB,AD,197
5703,SEND,DATA_RETRY,AB,AD,197
5785,RECEIVE,ACK,AD,AB,0
7475,SEND,DATA,AB,AD,197
7557,RECEIVE,ACK,AD,AB,0
9182,SEND,DATA,AB,AD,189
9264,RECEIVE,ACK,AD,AB,0
10954,SEND,DATA,AB,AD,197
12710,SEND,DATA_RETRY,AB,AD,197
12792,RECEIVE,ACK,AD,AB,0
14482,SEND,DATA,AB,AD,197
16239,SEND,DATA_RETRY,AB,AD,197
16321,RECEIVE,ACK,AD,AB,0
18012,SEND,DATA,AB,AD,197
18094,RECEIVE,ACK,AD,AB,0
19711,SEND,DATA,AB,AD,188
21395,SEND,DATA_RETRY,AB,AD,188
23084,SEND,DATA_RETRY,AB,AD,188
24771,SEND,DATA_RETRY,AB,AD,188
24853,RECEIVE,ACK,AD,AB,0
26543,SEND,DATA,AB,AD,197
28301,SEND,DATA_RETRY,AB,AD,197
30059,SEND,DATA_RETRY,AB,AD,197
31821,SEND,DATA_RETRY,AB,AD,197
33606,SEND,DATA,AB,AD,197
35370,SEND,DATA_RETRY,AB,AD,197
37134,SEND,DATA_RETRY,AB,AD,197
37216,RECEIVE,ACK,AD,AB,0
38906,SEND,DATA,AB,AD,197
40665,SEND,DATA_RETRY,AB,AD,197
42422,SEND,DATA_RETRY,AB,AD,197
44189,SEND,DATA_RETRY,AB,AD,197
45977,SEND,DATA,AB,AD,197
47735,SEND,DATA_RETRY,AB,AD,197
49504,SEND,DATA_RETRY,AB,AD,197
51261,SEND,DATA_RETRY,AB,AD,197
53052,SEND,DATA,AB,AD,197
54808,SEND,DATA_RETRY,AB,AD,197
54890,RECEIVE,ACK,AD,AB,0
56362,SEND,DATA,AB,AD,170
57905,SEND,DATA_RETRY,AB,AD,170
59447,SEND,DATA_RETRY,AB,AD,170
59528,RECEIVE,ACK,AD,AB,0
61065,SEND,DATA,AB,AD,178
61146,RECEIVE,ACK,AD,AB,0
62836,SEND,DATA,AB,AD,197
