# delay [ms], bytes_sent
81,50
81,50
81,50
81,50
81,44
81,45
662,50
81,48
81,42
659,50
81,43
81,40
81,50
81,50
659,50
1083,40
432,22
81,50
81,50
81,30
81,50
81,35
81,50
599,43
81,43
585,41
81,29
478,27
81,21
658,50
81,50
81,50
81,26
661,50
81,33
81,50
81,37
81,50
81,50
81,49
81,41
81,50
81,50
81,50
81,28
81,36
81,42
81,34
81,50
81,48
81,50
81,50
659,50
81,39
81,34
81,50
81,44
81,22
564,38
81,46
81,33
454,24
81,50
81,50
81,50
81,50
81,43
81,41
81,35
81,50
81,50
81,50
1004,35
81,17
81,25
81,50
81,38
81,47
81,50
81,30
81,48
81,32
81,48
81,50
81,50
81,50
81,49
81,38
81,48
81,50
81,31
81,50
81,27
81,25
81,50
81,50
529,34
81,50
81,37
81,29
81,39
81,50
81,50
410,19
