# timestamp [ms], type, package_type, source, dest, package_size
527,SEND,DATA,AD,AB,1
608,RECEIVE,ACK,AB,AD,0
706,SEND,DATA,AD,AB,0
787,RECEIVE,ACK,AB,AD,0
885,SEND,DATA,AD,AB,0
966,RECEIVE,ACK,AB,AD,0
1071,SEND,DATA,AD,AB,1
1152,RECEIVE,ACK,AB,AD,0
1247,SEND,DATA,AD,AB,0
1328,RECEIVE,ACK,AB,AD,0
1423,SEND,DATA,AD,AB,0
1504,RECEIVE,ACK,AB,AD,0
1599,SEND,DATA,AD,AB,0
1680,RECEIVE,ACK,AB,AD,0
1777,SEND,DATA,AD,AB,0
1858,RECEIVE,ACK,AB,AD,0
1955,SEND,DATA,AD,AB,0
2036,RECEIVE,ACK,AB,AD,0
2142,SEND,DATA,AD,AB,1
2223,RECEIVE,ACK,AB,AD,0
2320,SEND,DATA,AD,AB,0
2401,RECEIVE,ACK,AB,AD,0
2498,SEND,DATA,AD,AB,0
2579,RECEIVE,ACK,AB,AD,0
2674,SEND,DATA,AD,AB,0
2755,RECEIVE,ACK,AB,AD,0
2852,SEND,DATA,AD,AB,0
2933,RECEIVE,ACK,AB,AD,0
3029,SEND,DATA,AD,AB,0
3110,RECEIVE,ACK,AB,AD,0
3205,SEND,DATA,AD,AB,0
3286,RECEIVE,ACK,AB,AD,0
3382,SEND,DATA,AD,AB,0
3463,RECEIVE,ACK,AB,AD,0
3570,SEND,DATA,AD,AB,1
3651,RECEIVE,ACK,AB,AD,0
3755,SEND,DATA,AD,AB,1
3836,RECEIVE,ACK,AB,AD,0
3932,SEND,DATA,AD,AB,0
4013,RECEIVE,ACK,AB,AD,0
4109,SEND,DATA,AD,AB,0
4190,RECEIVE,ACK,AB,AD,0
4296,SEND,DATA,AD,AB,1
4377,RECEIVE,ACK,AB,AD,0
4475,SEND,DATA,AD,AB,0
4556,RECEIVE,ACK,AB,AD,0
4653,SEND,DATA,AD,AB,0
4734,RECEIVE,ACK,AB,AD,0
4838,SEND,DATA,AD,AB,1
4919,RECEIVE,ACK,AB,AD,0
5015,SEND,DATA,AD,AB,0
5096,RECEIVE,ACK,AB,AD,0
5194,SEND,DATA,AD,AB,0
5275,RECEIVE,ACK,AB,AD,0
5373,SEND,DATA,AD,AB,0
5454,RECEIVE,ACK,AB,AD,0
5551,SEND,DATA,AD,AB,0
5632,RECEIVE,ACK,AB,AD,0
5739,SEND,DATA,AD,AB,1
5820,RECEIVE,ACK,AB,AD,0
5928,SEND,DATA,AD,AB,1
6009,RECEIVE,ACK,AB,AD,0
6104,SEND,DATA,AD,AB,0
6185,RECEIVE,ACK,AB,AD,0
6283,SEND,DATA,AD,AB,0
6364,RECEIVE,ACK,AB,AD,0
6468,SEND,DATA,AD,AB,1
6549,RECEIVE,ACK,AB,AD,0
6646,SEND,DATA,AD,AB,0
6727,RECEIVE,ACK,AB,AD,0
6832,SEND,DATA,AD,AB,1
6913,RECEIVE,ACK,AB,AD,0
7008,SEND,DATA,AD,AB,0
7089,RECEIVE,ACK,AB,AD,0
7194,SEND,DATA,AD,AB,1
7275,RECEIVE,ACK,AB,AD,0
7382,SEND,DATA,AD,AB,1
7463,RECEIVE,ACK,AB,AD,0
7568,SEND,DATA,AD,AB,1
7649,RECEIVE,ACK,AB,AD,0
7744,SEND,DATA,AD,AB,0
7825,RECEIVE,ACK,AB,AD,0
7922,SEND,DATA,AD,AB,0
8003,RECEIVE,ACK,AB,AD,0
8107,SEND,DATA,AD,AB,1
8188,RECEIVE,ACK,AB,AD,0
8285,SEND,DATA,AD,AB,0
8366,RECEIVE,ACK,AB,AD,0
8470,SEND,DATA,AD,AB,1
8551,RECEIVE,ACK,AB,AD,0
8647,SEND,DATA,AD,AB,0
8728,RECEIVE,ACK,AB,AD,0
8826,SEND,DATA,AD,AB,0
8907,RECEIVE,ACK,AB,AD,0
9003,SEND,DATA,AD,AB,0
9084,RECEIVE,ACK,AB,AD,0
9180,SEND,DATA,AD,AB,0
9261,RECEIVE,ACK,AB,AD,0
9366,SEND,DATA,AD,AB,1
9447,RECEIVE,ACK,AB,AD,0
9545,SEND,DATA,AD,AB,0
9626,RECEIVE,ACK,AB,AD,0
9722,SEND,DATA,AD,AB,0
9803,RECEIVE,ACK,AB,AD,0
9900,SEND,DATA,AD,AB,0
9981,RECEIVE,ACK,AB,AD,0
10079,SEND,DATA,AD,AB,0
10160,RECEIVE,ACK,AB,AD,0
10267,SEND,DATA,AD,AB,1
10348,RECEIVE,ACK,AB,AD,0
10452,SEND,DATA,AD,AB,1
10533,RECEIVE,ACK,AB,AD,0
10629,SEND,DATA,AD,AB,0
10710,RECEIVE,ACK,AB,AD,0
10807,SEND,DATA,AD,AB,0
10888,RECEIVE,ACK,AB,AD,0
10985,SEND,DATA,AD,AB,0
11066,RECEIVE,ACK,AB,AD,0
11163,SEND,DATA,AD,AB,0
11244,RECEIVE,ACK,AB,AD,0
11340,SEND,DATA,AD,AB,0
11421,RECEIVE,ACK,AB,AD,0
11516,SEND,DATA,AD,AB,0
11597,RECEIVE,ACK,AB,AD,0
11694,SEND,DATA,AD,AB,0
11775,RECEIVE,ACK,AB,AD,0
11870,SEND,DATA,AD,AB,0
11951,RECEIVE,ACK,AB,AD,0
12048,SEND,DATA,AD,AB,0
12129,RECEIVE,ACK,AB,AD,0
12227,SEND,DATA,AD,AB,0
12308,RECEIVE,ACK,AB,AD,0
12404,SEND,DATA,AD,AB,0
12485,RECEIVE,ACK,AB,AD,0
12591,SEND,DATA,AD,AB,1
12672,RECEIVE,ACK,AB,AD,0
12771,SEND,DATA,AD,AB,0
12852,RECEIVE,ACK,AB,AD,0
12951,SEND,DATA,AD,AB,0
13032,RECEIVE,ACK,AB,AD,0
13130,SEND,DATA,AD,AB,0
13211,RECEIVE,ACK,AB,AD,0
13308,SEND,DATA,AD,AB,0
13389,RECEIVE,ACK,AB,AD,0
13485,SEND,DATA,AD,AB,0
13566,RECEIVE,ACK,AB,AD,0
13664,SEND,DATA,AD,AB,0
13745,RECEIVE,ACK,AB,AD,0
13842,SEND,DATA,AD,AB,0
13923,RECEIVE,ACK,AB,AD,0
14029,SEND,DATA,AD,AB,1
14110,RECEIVE,ACK,AB,AD,0
14206,SEND,DATA,AD,AB,0
14287,RECEIVE,ACK,AB,AD,0
14394,SEND,DATA,AD,AB,1
14475,RECEIVE,ACK,AB,AD,0
14582,SEND,DATA,AD,AB,1
14663,RECEIVE,ACK,AB,AD,0
14770,SEND,DATA,AD,AB,1
14851,RECEIVE,ACK,AB,AD,0
14955,SEND,DATA,AD,AB,1
15036,RECEIVE,ACK,AB,AD,0
15134,SEND,DATA,AD,AB,0
15215,RECEIVE,ACK,AB,AD,0
15319,SEND,DATA,AD,AB,1
15400,RECEIVE,ACK,AB,AD,0
15499,SEND,DATA,AD,AB,0
15580,RECEIVE,ACK,AB,AD,0
15677,SEND,DATA,AD,AB,0
15758,RECEIVE,ACK,AB,AD,0
15862,SEND,DATA,AD,AB,1
15943,RECEIVE,ACK,AB,AD,0
16041,SEND,DATA,AD,AB,0
16122,RECEIVE,ACK,AB,AD,0
16230,SEND,DATA,AD,AB,1
16311,RECEIVE,ACK,AB,AD,0
16408,SEND,DATA,AD,AB,0
16489,RECEIVE,ACK,AB,AD,0
16584,SEND,DATA,AD,AB,0
16665,RECEIVE,ACK,AB,AD,0
16771,SEND,DATA,AD,AB,1
16853,RECEIVE,ACK,AB,AD,0
16961,SEND,DATA,AD,AB,1
17042,RECEIVE,ACK,AB,AD,0
17147,SEND,DATA,AD,AB,1
17228,RECEIVE,ACK,AB,AD,0
17327,SEND,DATA,AD,AB,0
17408,RECEIVE,ACK,AB,AD,0
17504,SEND,DATA,AD,AB,0
17585,RECEIVE,ACK,AB,AD,0
17690,SEND,DATA,AD,AB,1
17771,RECEIVE,ACK,AB,AD,0
17866,SEND,DATA,AD,AB,0
17947,RECEIVE,ACK,AB,AD,0
18042,SEND,DATA,AD,AB,0
18123,RECEIVE,ACK,AB,AD,0
18221,SEND,DATA,AD,AB,0
18302,RECEIVE,ACK,AB,AD,0
18398,SEND,DATA,AD,AB,0
18479,RECEIVE,ACK,AB,AD,0
18577,SEND,DATA,AD,AB,0
18658,RECEIVE,ACK,AB,AD,0
18756,SEND,DATA,AD,AB,0
18837,RECEIVE,ACK,AB,AD,0
18933,SEND,DATA,AD,AB,0
19014,RECEIVE,ACK,AB,AD,0
19110,SEND,DATA,AD,AB,0
19191,RECEIVE,ACK,AB,AD,0
19298,SEND,DATA,AD,AB,1
19379,RECEIVE,ACK,AB,AD,0
19484,SEND,DATA,AD,AB,1
19565,RECEIVE,ACK,AB,AD,0
19663,SEND,DATA,AD,AB,0
19744,RECEIVE,ACK,AB,AD,0
19841,SEND,DATA,AD,AB,0
19922,RECEIVE,ACK,AB,AD,0
20029,SEND,DATA,AD,AB,1
20110,RECEIVE,ACK,AB,AD,0
20214,SEND,DATA,AD,AB,1
20295,RECEIVE,ACK,AB,AD,0
20392,SEND,DATA,AD,AB,0
20473,RECEIVE,ACK,AB,AD,0
20571,SEND,DATA,AD,AB,0
20652,RECEIVE,ACK,AB,AD,0
20749,SEND,DATA,AD,AB,0
20830,RECEIVE,ACK,AB,AD,0
20929,SEND,DATA,AD,AB,0
21010,RECEIVE,ACK,AB,AD,0
21109,SEND,DATA,AD,AB,0
21190,RECEIVE,ACK,AB,AD,0
21287,SEND,DATA,AD,AB,0
21368,RECEIVE,ACK,AB,AD,0
21464,SEND,DATA,AD,AB,0
21545,RECEIVE,ACK,AB,AD,0
21650,SEND,DATA,AD,AB,1
21731,RECEIVE,ACK,AB,AD,0
21829,SEND,DATA,AD,AB,0
21910,RECEIVE,ACK,AB,AD,0
22007,SEND,DATA,AD,AB,0
22088,RECEIVE,ACK,AB,AD,0
22192,SEND,DATA,AD,AB,1
22273,RECEIVE,ACK,AB,AD,0
22369,SEND,DATA,AD,AB,0
22450,RECEIVE,ACK,AB,AD,0
22549,SEND,DATA,AD,AB,0
22630,RECEIVE,ACK,AB,AD,0
22728,SEND,DATA,AD,AB,0
22809,RECEIVE,ACK,AB,AD,0
22905,SEND,DATA,AD,AB,0
22986,RECEIVE,ACK,AB,AD,0
23083,SEND,DATA,AD,AB,0
23164,RECEIVE,ACK,AB,AD,0
23261,SEND,DATA,AD,AB,0
23342,RECEIVE,ACK,AB,AD,0
23439,SEND,DATA,AD,AB,0
23520,RECEIVE,ACK,AB,AD,0
23619,SEND,DATA,AD,AB,0
23700,RECEIVE,ACK,AB,AD,0
23798,SEND,DATA,AD,AB,0
23879,RECEIVE,ACK,AB,AD,0
23985,SEND,DATA,AD,AB,1
24066,RECEIVE,ACK,AB,AD,0
24171,SEND,DATA,AD,AB,1
24252,RECEIVE,ACK,AB,AD,0
24348,SEND,DATA,AD,AB,0
24429,RECEIVE,ACK,AB,AD,0
24525,SEND,DATA,AD,AB,0
24606,RECEIVE,ACK,AB,AD,0
24712,SEND,DATA,AD,AB,1
24793,RECEIVE,ACK,AB,AD,0
