# timestamp [ms], type, package_type, source, dest, package_size
933,SEND,DATA,AD,AB,50
1014,RECEIVE,ACK,AB,AD,0
1376,SEND,DATA,AD,AB,33
1457,RECEIVE,ACK,AB,AD,0
1957,SEND,DATA,AD,AB,50
2038,RECEIVE,ACK,AB,AD,0
2530,SEND,DATA,AD,AB,49
2611,RECEIVE,ACK,AB,AD,0
3008,SEND,DATA,AD,AB,37
3089,RECEIVE,ACK,AB,AD,0
3493,SEND,DATA,AD,AB,38
3574,RECEIVE,ACK,AB,AD,0
4076,SEND,DATA,AD,AB,50
4157,RECEIVE,ACK,AB,AD,0
4661,SEND,DATA,AD,AB,50
4744,RECEIVE,ACK,AB,AD,0
5237,SEND,DATA,AD,AB,49
5318,RECEIVE,ACK,AB,AD,0
5819,SEND,DATA,AD,AB,50
5902,RECEIVE,ACK,AB,AD,0
6403,SEND,DATA,AD,AB,50
6484,RECEIVE,ACK,AB,AD,0
6912,SEND,DATA,AD,AB,41
6993,RECEIVE,ACK,AB,AD,0
7496,SEND,DATA,AD,AB,50
7578,RECEIVE,ACK,AB,AD,0
8081,SEND,DATA,AD,AB,50
8162,RECEIVE,ACK,AB,AD,0
8664,SEND,DATA,AD,AB,50
8745,RECEIVE,ACK,AB,AD,0
9070,SEND,DATA,AD,AB,28
9151,RECEIVE,ACK,AB,AD,0
9653,SEND,DATA,AD,AB,50
9735,RECEIVE,ACK,AB,AD,0
10239,SEND,DATA,AD,AB,50
10320,RECEIVE,ACK,AB,AD,0
10789,SEND,DATA,AD,AB,46
10870,RECEIVE,ACK,AB,AD,0
11375,SEND,DATA,AD,AB,50
11456,RECEIVE,ACK,AB,AD,0
11899,SEND,DATA,AD,AB,43
11980,RECEIVE,ACK,AB,AD,0
12336,SEND,DATA,AD,AB,32
12417,RECEIVE,ACK,AB,AD,0
12782,SEND,DATA,AD,AB,33
12863,RECEIVE,ACK,AB,AD,0
13171,SEND,DATA,AD,AB,26
13252,RECEIVE,ACK,AB,AD,0
13757,SEND,DATA,AD,AB,50
13838,RECEIVE,ACK,AB,AD,0
14300,SEND,DATA,AD,AB,45
14381,RECEIVE,ACK,AB,AD,0
14884,SEND,DATA,AD,AB,50
14965,RECEIVE,ACK,AB,AD,0
15465,SEND,DATA,AD,AB,50
15546,RECEIVE,ACK,AB,AD,0
16030,SEND,DATA,AD,AB,48
16111,RECEIVE,ACK,AB,AD,0
16459,SEND,DATA,AD,AB,31
16540,RECEIVE,ACK,AB,AD,0
16863,SEND,DATA,AD,AB,28
16944,RECEIVE,ACK,AB,AD,0
17292,SEND,DATA,AD,AB,31
17373,RECEIVE,ACK,AB,AD,0
17778,SEND,DATA,AD,AB,38
17860,RECEIVE,ACK,AB,AD,0
18174,SEND,DATA,AD,AB,27
18255,RECEIVE,ACK,AB,AD,0
18755,SEND,DATA,AD,AB,50
18836,RECEIVE,ACK,AB,AD,0
19234,SEND,DATA,AD,AB,37
19315,RECEIVE,ACK,AB,AD,0
19597,SEND,DATA,AD,AB,23
19678,RECEIVE,ACK,AB,AD,0
20100,SEND,DATA,AD,AB,40
20181,RECEIVE,ACK,AB,AD,0
20506,SEND,DATA,AD,AB,28
20587,RECEIVE,ACK,AB,AD,0
21089,SEND,DATA,AD,AB,50
21170,RECEIVE,ACK,AB,AD,0
21429,SEND,DATA,AD,AB,20
21510,RECEIVE,ACK,AB,AD,0
22012,SEND,DATA,AD,AB,50
22093,RECEIVE,ACK,AB,AD,0
22440,SEND,DATA,AD,AB,31
22521,RECEIVE,ACK,AB,AD,0
22951,SEND,DATA,AD,AB,41
23032,RECEIVE,ACK,AB,AD,0
23378,SEND,DATA,AD,AB,31
23459,RECEIVE,ACK,AB,AD,0
23963,SEND,DATA,AD,AB,50
24044,RECEIVE,ACK,AB,AD,0
24547,SEND,DATA,AD,AB,50
24628,RECEIVE,ACK,AB,AD,0
25128,SEND,DATA,AD,AB,50
25209,RECEIVE,ACK,AB,AD,0
25653,SEND,DATA,AD,AB,43
25734,RECEIVE,ACK,AB,AD,0
25999,SEND,DATA,AD,AB,21
26080,RECEIVE,ACK,AB,AD,0
26501,SEND,DATA,AD,AB,40
26582,RECEIVE,ACK,AB,AD,0
27012,SEND,DATA,AD,AB,41
27093,RECEIVE,ACK,AB,AD,0
27536,SEND,DATA,AD,AB,43
27617,RECEIVE,ACK,AB,AD,0
27915,SEND,DATA,AD,AB,25
27996,RECEIVE,ACK,AB,AD,0
28394,SEND,DATA,AD,AB,37
28475,RECEIVE,ACK,AB,AD,0
28790,SEND,DATA,AD,AB,27
28871,RECEIVE,ACK,AB,AD,0
29203,SEND,DATA,AD,AB,29
29284,RECEIVE,ACK,AB,AD,0
29632,SEND,DATA,AD,AB,31
29713,RECEIVE,ACK,AB,AD,0
30011,SEND,DATA,AD,AB,25
30092,RECEIVE,ACK,AB,AD,0
30463,SEND,DATA,AD,AB,34
30544,RECEIVE,ACK,AB,AD,0
31048,SEND,DATA,AD,AB,50
31129,RECEIVE,ACK,AB,AD,0
31622,SEND,DATA,AD,AB,49
31703,RECEIVE,ACK,AB,AD,0
31987,SEND,DATA,AD,AB,23
32068,RECEIVE,ACK,AB,AD,0
32572,SEND,DATA,AD,AB,50
32653,RECEIVE,ACK,AB,AD,0
33148,SEND,DATA,AD,AB,49
33229,RECEIVE,ACK,AB,AD,0
33729,SEND,DATA,AD,AB,50
33810,RECEIVE,ACK,AB,AD,0
34310,SEND,DATA,AD,AB,50
34391,RECEIVE,ACK,AB,AD,0
34748,SEND,DATA,AD,AB,32
34829,RECEIVE,ACK,AB,AD,0
35095,SEND,DATA,AD,AB,21
35176,RECEIVE,ACK,AB,AD,0
35469,SEND,DATA,AD,AB,24
35550,RECEIVE,ACK,AB,AD,0
36050,SEND,DATA,AD,AB,50
36131,RECEIVE,ACK,AB,AD,0
36560,SEND,DATA,AD,AB,41
36641,RECEIVE,ACK,AB,AD,0
37135,SEND,DATA,AD,AB,49
37216,RECEIVE,ACK,AB,AD,0
37718,SEND,DATA,AD,AB,50
37799,RECEIVE,ACK,AB,AD,0
38138,SEND,DATA,AD,AB,30
38219,RECEIVE,ACK,AB,AD,0
38688,SEND,DATA,AD,AB,46
38769,RECEIVE,ACK,AB,AD,0
39271,SEND,DATA,AD,AB,50
39352,RECEIVE,ACK,AB,AD,0
39693,SEND,DATA,AD,AB,30
39774,RECEIVE,ACK,AB,AD,0
40275,SEND,DATA,AD,AB,50
40356,RECEIVE,ACK,AB,AD,0
40770,SEND,DATA,AD,AB,39
40851,RECEIVE,ACK,AB,AD,0
41206,SEND,DATA,AD,AB,32
41287,RECEIVE,ACK,AB,AD,0
41773,SEND,DATA,AD,AB,48
41854,RECEIVE,ACK,AB,AD,0
42355,SEND,DATA,AD,AB,50
42436,RECEIVE,ACK,AB,AD,0
42847,SEND,DATA,AD,AB,39
42928,RECEIVE,ACK,AB,AD,0
43276,SEND,DATA,AD,AB,31
43357,RECEIVE,ACK,AB,AD,0
43606,SEND,DATA,AD,AB,19
43687,RECEIVE,ACK,AB,AD,0
