# timestamp [ms], type, package_type, source, dest, package_size
655,SEND,DATA,AB,AD,10
736,RECEIVE,ACK,AD,AB,0
914,SEND,DATA,AB,AD,10
995,RECEIVE,ACK,AD,AB,0
1172,SEND,DATA,AB,AD,10
1253,RECEIVE,ACK,AD,AB,0
1430,SEND,DATA,AB,AD,10
1511,RECEIVE,ACK,AD,AB,0
1607,SEND,DATA,AB,AD,0
1688,RECEIVE,ACK,AD,AB,0
1784,SEND,DATA,AB,AD,0
1966,SEND,DATA_RETRY,AB,AD,0
2047,RECEIVE,ACK,AD,AB,0
2225,SEND,DATA,AB,AD,10
2306,RECEIVE,ACK,AD,AB,0
2484,SEND,DATA,AB,AD,10
2565,RECEIVE,ACK,AD,AB,0
2686,SEND,DATA,AB,AD,3
2767,RECEIVE,ACK,AD,AB,0
2945,SEND,DATA,AB,AD,10
3026,RECEIVE,ACK,AD,AB,0
3205,SEND,DATA,AB,AD,10
3286,RECEIVE,ACK,AD,AB,0
3465,SEND,DATA,AB,AD,10
3546,RECEIVE,ACK,AD,AB,0
3723,SEND,DATA,AB,AD,10
3804,RECEIVE,ACK,AD,AB,0
3985,SEND,DATA,AB,AD,10
4066,RECEIVE,ACK,AD,AB,0
4162,SEND,DATA,AB,AD,0
4243,RECEIVE,ACK,AD,AB,0
4421,SEND,DATA,AB,AD,10
4502,RECEIVE,ACK,AD,AB,0
4630,SEND,DATA,AB,AD,4
4711,RECEIVE,ACK,AD,AB,0
4815,SEND,DATA,AB,AD,1
4896,RECEIVE,ACK,AD,AB,0
4991,SEND,DATA,AB,AD,0
5072,RECEIVE,ACK,AD,AB,0
5250,SEND,DATA,AB,AD,10
5331,RECEIVE,ACK,AD,AB,0
5509,SEND,DATA,AB,AD,10
5769,SEND,DATA_RETRY,AB,AD,10
5850,RECEIVE,ACK,AD,AB,0
6026,SEND,DATA,AB,AD,10
6107,RECEIVE,ACK,AD,AB,0
6285,SEND,DATA,AB,AD,10
6366,RECEIVE,ACK,AD,AB,0
6527,SEND,DATA,AB,AD,8
6608,RECEIVE,ACK,AD,AB,0
6703,SEND,DATA,AB,AD,0
6784,RECEIVE,ACK,AD,AB,0
6879,SEND,DATA,AB,AD,0
6960,RECEIVE,ACK,AD,AB,0
7055,SEND,DATA,AB,AD,0
7136,RECEIVE,ACK,AD,AB,0
7315,SEND,DATA,AB,AD,10
7396,RECEIVE,ACK,AD,AB,0
7574,SEND,DATA,AB,AD,10
7655,RECEIVE,ACK,AD,AB,0
7833,SEND,DATA,AB,AD,10
7914,RECEIVE,ACK,AD,AB,0
8092,SEND,DATA,AB,AD,10
8173,RECEIVE,ACK,AD,AB,0
8268,SEND,DATA,AB,AD,0
8349,RECEIVE,ACK,AD,AB,0
8444,SEND,DATA,AB,AD,0
8525,RECEIVE,ACK,AD,AB,0
8621,SEND,DATA,AB,AD,0
8702,RECEIVE,ACK,AD,AB,0
8881,SEND,DATA,AB,AD,10
8962,RECEIVE,ACK,AD,AB,0
9058,SEND,DATA,AB,AD,0
9139,RECEIVE,ACK,AD,AB,0
9316,SEND,DATA,AB,AD,10
9397,RECEIVE,ACK,AD,AB,0
9575,SEND,DATA,AB,AD,10
9656,RECEIVE,ACK,AD,AB,0
9751,SEND,DATA,AB,AD,0
9832,RECEIVE,ACK,AD,AB,0
9927,SEND,DATA,AB,AD,0
10008,RECEIVE,ACK,AD,AB,0
10104,SEND,DATA,AB,AD,0
10185,RECEIVE,ACK,AD,AB,0
10363,SEND,DATA,AB,AD,10
10444,RECEIVE,ACK,AD,AB,0
10624,SEND,DATA,AB,AD,10
10705,RECEIVE,ACK,AD,AB,0
10882,SEND,DATA,AB,AD,10
11143,SEND,DATA_RETRY,AB,AD,10
11224,RECEIVE,ACK,AD,AB,0
11401,SEND,DATA,AB,AD,10
11482,RECEIVE,ACK,AD,AB,0
11659,SEND,DATA,AB,AD,10
11740,RECEIVE,ACK,AD,AB,0
11924,SEND,DATA,AB,AD,10
12005,RECEIVE,ACK,AD,AB,0
12165,SEND,DATA,AB,AD,8
12246,RECEIVE,ACK,AD,AB,0
12424,SEND,DATA,AB,AD,10
12505,RECEIVE,ACK,AD,AB,0
12657,SEND,DATA,AB,AD,7
12738,RECEIVE,ACK,AD,AB,0
12834,SEND,DATA,AB,AD,0
12915,RECEIVE,ACK,AD,AB,0
13094,SEND,DATA,AB,AD,10
13175,RECEIVE,ACK,AD,AB,0
13270,SEND,DATA,AB,AD,0
13351,RECEIVE,ACK,AD,AB,0
13447,SEND,DATA,AB,AD,0
13528,RECEIVE,ACK,AD,AB,0
13705,SEND,DATA,AB,AD,10
13786,RECEIVE,ACK,AD,AB,0
13963,SEND,DATA,AB,AD,10
14222,SEND,DATA_RETRY,AB,AD,10
14303,RECEIVE,ACK,AD,AB,0
14399,SEND,DATA,AB,AD,0
14480,RECEIVE,ACK,AD,AB,0
14658,SEND,DATA,AB,AD,10
14739,RECEIVE,ACK,AD,AB,0
14915,SEND,DATA,AB,AD,10
14996,RECEIVE,ACK,AD,AB,0
15175,SEND,DATA,AB,AD,10
15256,RECEIVE,ACK,AD,AB,0
15359,SEND,DATA,AB,AD,0
15440,RECEIVE,ACK,AD,AB,0
15536,SEND,DATA,AB,AD,0
15617,RECEIVE,ACK,AD,AB,0
15794,SEND,DATA,AB,AD,10
15875,RECEIVE,ACK,AD,AB,0
