# delay [ms], bytes_sent
81,49
81,50
81,50
81,50
81,50
81,49
606,42
81,50
81,50
81,40
81,50
81,50
81,40
81,50
81,25
81,50
81,46
81,50
493,28
81,50
81,50
980,33
482,27
81,50
81,49
81,50
81,45
81,50
1258,50
81,46
81,39
81,40
81,38
583,39
81,28
81,50
670,50
81,50
81,32
81,50
521,31
81,50
1873,50
81,50
1253,50
81,50
81,22
1853,50
81,50
81,50
81,32
81,50
81,46
81,39
663,50
662,50
81,39
81,44
81,50
81,50
677,49
81,50
81,50
490,27
665,50
81,50
81,50
81,50
81,49
81,31
81,50
81,23
81,50
81,41
81,42
81,37
674,50
81,45
81,50
81,22
81,50
1252,50
581,39
81,50
1149,43
81,50
