# timestamp [ms], type, package_type, source, dest, package_size
2164,SEND,DATA,AB,AD,197
3920,SEND,DATA_RETRY,AB,AD,197
5679,SEND,DATA_RETRY,AB,AD,197
7450,SEND,DATA_RETRY,AB,AD,197
7532,RECEIVE,ACK,AD,AB,0
9190,SEND,DATA,AB,AD,193
9272,RECEIVE,ACK,AD,AB,0
10962,SEND,DATA,AB,AD,197
12724,SEND,DATA_RETRY,AB,AD,197
14487,SEND,DATA_RETRY,AB,AD,197
14569,RECEIVE,ACK,AD,AB,0
16260,SEND,DATA,AB,AD,197
16342,RECEIVE,ACK,AD,AB,0
18035,SEND,DATA,AB,AD,197
19796,SEND,DATA_RETRY,AB,AD,197
21562,SEND,DATA_RETRY,AB,AD,197
21644,RECEIVE,ACK,AD,AB,0
23336,SEND,DATA,AB,AD,197
23418,RECEIVE,ACK,AD,AB,0
25108,SEND,DATA,AB,AD,197
25190,RECEIVE,ACK,AD,AB,0
26883,SEND,DATA,AB,AD,197
28645,SEND,DATA_RETRY,AB,AD,197
28727,RECEIVE,ACK,AD,AB,0
30421,SEND,DATA,AB,AD,197
30503,RECEIVE,ACK,AD,AB,0
32196,SEND,DATA,AB,AD,197
33953,SEND,DATA_RETRY,AB,AD,197
34035,RECEIVE,ACK,AD,AB,0
35729,SEND,DATA,AB,AD,197
35811,RECEIVE,ACK,AD,AB,0
37429,SEND,DATA,AB,AD,188
39118,SEND,DATA_RETRY,AB,AD,188
39200,RECEIVE,ACK,AD,AB,0
40895,SEND,DATA,AB,AD,197
40977,RECEIVE,ACK,AD,AB,0
42650,SEND,DATA,AB,AD,195
44391,SEND,DATA_RETRY,AB,AD,195
44473,RECEIVE,ACK,AD,AB,0
46166,SEND,DATA,AB,AD,197
46248,RECEIVE,ACK,AD,AB,0
47939,SEND,DATA,AB,AD,197
49702,SEND,DATA_RETRY,AB,AD,197
51475,SEND,DATA_RETRY,AB,AD,197
53245,SEND,DATA_RETRY,AB,AD,197
53327,RECEIVE,ACK,AD,AB,0
54921,SEND,DATA,AB,AD,184
55003,RECEIVE,ACK,AD,AB,0
56647,SEND,DATA,AB,AD,191
58362,SEND,DATA_RETRY,AB,AD,191
58444,RECEIVE,ACK,AD,AB,0
60015,SEND,DATA,AB,AD,182
60097,RECEIVE,ACK,AD,AB,0
61788,SEND,DATA,AB,AD,197
