# timestamp [ms], type, package_type, source, dest, package_size
1326,SEND,DATA,AD,AB,100
1407,RECEIVE,ACK,AB,AD,0
2248,SEND,DATA,AD,AB,92
2329,RECEIVE,ACK,AB,AD,0
3236,SEND,DATA,AD,AB,100
3317,RECEIVE,ACK,AB,AD,0
4222,SEND,DATA,AD,AB,100
4303,RECEIVE,ACK,AB,AD,0
5192,SEND,DATA,AD,AB,98
5273,RECEIVE,ACK,AB,AD,0
6025,SEND,DATA,AD,AB,81
6106,RECEIVE,ACK,AB,AD,0
6989,SEND,DATA,AD,AB,97
7070,RECEIVE,ACK,AB,AD,0
7888,SEND,DATA,AD,AB,89
7969,RECEIVE,ACK,AB,AD,0
8794,SEND,DATA,AD,AB,90
8875,RECEIVE,ACK,AB,AD,0
9780,SEND,DATA,AD,AB,100
9861,RECEIVE,ACK,AB,AD,0
10660,SEND,DATA,AD,AB,87
10741,RECEIVE,ACK,AB,AD,0
11380,SEND,DATA,AD,AB,67
11461,RECEIVE,ACK,AB,AD,0
12370,SEND,DATA,AD,AB,100
12451,RECEIVE,ACK,AB,AD,0
13333,SEND,DATA,AD,AB,97
13414,RECEIVE,ACK,AB,AD,0
14322,SEND,DATA,AD,AB,100
14403,RECEIVE,ACK,AB,AD,0
15311,SEND,DATA,AD,AB,100
15392,RECEIVE,ACK,AB,AD,0
16297,SEND,DATA,AD,AB,100
17277,SEND,DATA_RETRY,AD,AB,100
17358,RECEIVE,ACK,AB,AD,0
18239,SEND,DATA,AD,AB,97
18320,RECEIVE,ACK,AB,AD,0
19025,SEND,DATA,AD,AB,75
19106,RECEIVE,ACK,AB,AD,0
20013,SEND,DATA,AD,AB,100
20094,RECEIVE,ACK,AB,AD,0
20741,SEND,DATA,AD,AB,68
20822,RECEIVE,ACK,AB,AD,0
21727,SEND,DATA,AD,AB,100
21808,RECEIVE,ACK,AB,AD,0
22667,SEND,DATA,AD,AB,94
22748,RECEIVE,ACK,AB,AD,0
23582,SEND,DATA,AD,AB,91
23663,RECEIVE,ACK,AB,AD,0
24545,SEND,DATA,AD,AB,97
24626,RECEIVE,ACK,AB,AD,0
25532,SEND,DATA,AD,AB,100
25613,RECEIVE,ACK,AB,AD,0
26397,SEND,DATA,AD,AB,85
26478,RECEIVE,ACK,AB,AD,0
27385,SEND,DATA,AD,AB,100
27466,RECEIVE,ACK,AB,AD,0
28374,SEND,DATA,AD,AB,100
28455,RECEIVE,ACK,AB,AD,0
29363,SEND,DATA,AD,AB,100
29444,RECEIVE,ACK,AB,AD,0
30352,SEND,DATA,AD,AB,100
30433,RECEIVE,ACK,AB,AD,0
31338,SEND,DATA,AD,AB,100
31419,RECEIVE,ACK,AB,AD,0
32228,SEND,DATA,AD,AB,88
32309,RECEIVE,ACK,AB,AD,0
33197,SEND,DATA,AD,AB,98
33278,RECEIVE,ACK,AB,AD,0
34184,SEND,DATA,AD,AB,100
34265,RECEIVE,ACK,AB,AD,0
35172,SEND,DATA,AD,AB,100
35253,RECEIVE,ACK,AB,AD,0
35941,SEND,DATA,AD,AB,73
36022,RECEIVE,ACK,AB,AD,0
36930,SEND,DATA,AD,AB,100
37011,RECEIVE,ACK,AB,AD,0
37919,SEND,DATA,AD,AB,100
38000,RECEIVE,ACK,AB,AD,0
38908,SEND,DATA,AD,AB,100
38989,RECEIVE,ACK,AB,AD,0
39897,SEND,DATA,AD,AB,100
39978,RECEIVE,ACK,AB,AD,0
40885,SEND,DATA,AD,AB,100
40966,RECEIVE,ACK,AB,AD,0
41873,SEND,DATA,AD,AB,100
41954,RECEIVE,ACK,AB,AD,0
42692,SEND,DATA,AD,AB,79
42773,RECEIVE,ACK,AB,AD,0
43680,SEND,DATA,AD,AB,100
43761,RECEIVE,ACK,AB,AD,0
44669,SEND,DATA,AD,AB,100
44750,RECEIVE,ACK,AB,AD,0
45658,SEND,DATA,AD,AB,100
45739,RECEIVE,ACK,AB,AD,0
46646,SEND,DATA,AD,AB,100
46727,RECEIVE,ACK,AB,AD,0
47414,SEND,DATA,AD,AB,73
47495,RECEIVE,ACK,AB,AD,0
48232,SEND,DATA,AD,AB,79
48313,RECEIVE,ACK,AB,AD,0
48937,SEND,DATA,AD,AB,65
49018,RECEIVE,ACK,AB,AD,0
49868,SEND,DATA,AD,AB,93
49949,RECEIVE,ACK,AB,AD,0
50854,SEND,DATA,AD,AB,100
50935,RECEIVE,ACK,AB,AD,0
51702,SEND,DATA,AD,AB,83
51783,RECEIVE,ACK,AB,AD,0
52691,SEND,DATA,AD,AB,100
52772,RECEIVE,ACK,AB,AD,0
53677,SEND,DATA,AD,AB,100
53758,RECEIVE,ACK,AB,AD,0
54585,SEND,DATA,AD,AB,90
54666,RECEIVE,ACK,AB,AD,0
55404,SEND,DATA,AD,AB,79
55485,RECEIVE,ACK,AB,AD,0
56390,SEND,DATA,AD,AB,100
56471,RECEIVE,ACK,AB,AD,0
57313,SEND,DATA,AD,AB,92
57394,RECEIVE,ACK,AB,AD,0
58284,SEND,DATA,AD,AB,98
58365,RECEIVE,ACK,AB,AD,0
59037,SEND,DATA,AD,AB,71
59118,RECEIVE,ACK,AB,AD,0
60027,SEND,DATA,AD,AB,100
60108,RECEIVE,ACK,AB,AD,0
60909,SEND,DATA,AD,AB,87
60990,RECEIVE,ACK,AB,AD,0
61856,SEND,DATA,AD,AB,95
61937,RECEIVE,ACK,AB,AD,0
62842,SEND,DATA,AD,AB,100
