# delay [ms], bytes_sent
599,10
81,10
81,10
81,0
260,0
81,0
81,10
81,10
81,0
81,10
81,5
81,10
81,0
81,6
81,10
338,10
81,0
81,10
81,0
81,0
600,10
81,10
81,0
81,10
81,0
342,10
81,8
81,10
81,10
336,10
81,10
81,9
81,7
81,10
81,0
81,0
81,10
81,0
81,10
81,0
81,10
81,10
81,10
81,1
81,1
81,6
81,10
81,10
81,10
81,0
81,0
81,10
81,10
341,10
81,10
81,0
338,10
81,0
81,0
81,10
81,0
81,10
81,0
81,0
81,0
81,0
335,10
81,10
81,5
81,3
81,10
81,10
81,0
81,10
81,9
81,0
335,10
81,10
81,0
81,10
81,0
81,10
81,10
81,0
81,10
81,10
81,10
81,3
81,3
81,10
81,0
258,0
81,0
81,0
81,0
81,0
81,10
81,9
81,0
321,8
81,2
81,0
81,10
81,10
81,10
81,10
81,0
81,10
81,0
81,10
81,0
81,10
81,0
81,4
81,10
81,10
81,10
81,10
81,10
81,0
81,0
81,10
81,4
81,10
81,10
81,0
81,0
81,10
81,5
81,10
338,10
81,10
81,0
81,0
81,7
81,10
81,0
81,0
81,0
81,10
81,0
81,10
81,0
256,0
81,10
81,10
81,0
81,0
81,10
339,10
329,9
81,4
81,10
341,10
81,7
81,10
81,0
81,2
81,0
81,0
81,0
81,4
81,8
81,0
281,3
81,10
81,0
339,10
81,10
81,0
81,10
81,3
81,10
81,0
81,0
81,10
81,0
81,10
81,0
81,0
81,0
81,8
81,10
81,1
81,3
81,10
81,10
81,0
81,10
81,9
81,10
342,10
81,10
81,10
81,3
81,3
81,0
81,7
81,5
81,10
81,10
81,10
81,10
81,3
81,0
81,10
81,10
81,2
81,8
81,8
81,9
81,10
81,9
81,9
81,0
81,10
81,10
81,10
81,0
81,10
81,10
339,10
81,0
338,10
81,0
81,6
81,0
81,4
81,0
81,0
81,10
81,10
81,0
317,7
81,7
81,1
81,0
81,0
81,10
81,10
81,1
81,0
81,10
81,0
81,0
81,10
81,10
81,9
81,0
81,10
81,10
81,5
81,0
81,10
81,10
81,10
81,10
