# timestamp [ms], type, package_type, source, dest, package_size
1793,SEND,DATA,AB,AD,150
3188,SEND,DATA_RETRY,AB,AD,150
3269,RECEIVE,ACK,AD,AB,0
4588,SEND,DATA,AB,AD,150
4669,RECEIVE,ACK,AD,AB,0
5992,SEND,DATA,AB,AD,150
6073,RECEIVE,ACK,AD,AB,0
7394,SEND,DATA,AB,AD,150
7475,RECEIVE,ACK,AD,AB,0
8651,SEND,DATA,AB,AD,132
8732,RECEIVE,ACK,AD,AB,0
10059,SEND,DATA,AB,AD,150
11450,SEND,DATA_RETRY,AB,AD,150
12848,SEND,DATA_RETRY,AB,AD,150
12929,RECEIVE,ACK,AD,AB,0
14249,SEND,DATA,AB,AD,150
14330,RECEIVE,ACK,AD,AB,0
15670,SEND,DATA,AB,AD,150
17064,SEND,DATA_RETRY,AB,AD,150
18468,SEND,DATA_RETRY,AB,AD,150
18549,RECEIVE,ACK,AD,AB,0
19870,SEND,DATA,AB,AD,150
19951,RECEIVE,ACK,AD,AB,0
21207,SEND,DATA,AB,AD,141
22531,SEND,DATA_RETRY,AB,AD,141
23851,SEND,DATA_RETRY,AB,AD,141
23932,RECEIVE,ACK,AD,AB,0
25098,SEND,DATA,AB,AD,131
25179,RECEIVE,ACK,AD,AB,0
26409,SEND,DATA,AB,AD,139
26490,RECEIVE,ACK,AD,AB,0
27753,SEND,DATA,AB,AD,143
27834,RECEIVE,ACK,AD,AB,0
29155,SEND,DATA,AB,AD,150
29236,RECEIVE,ACK,AD,AB,0
30492,SEND,DATA,AB,AD,141
31811,SEND,DATA_RETRY,AB,AD,141
33142,SEND,DATA_RETRY,AB,AD,141
33223,RECEIVE,ACK,AD,AB,0
34576,SEND,DATA,AB,AD,150
34657,RECEIVE,ACK,AD,AB,0
35982,SEND,DATA,AB,AD,150
36063,RECEIVE,ACK,AD,AB,0
37387,SEND,DATA,AB,AD,150
38778,SEND,DATA_RETRY,AB,AD,150
38859,RECEIVE,ACK,AD,AB,0
40179,SEND,DATA,AB,AD,150
41571,SEND,DATA_RETRY,AB,AD,150
42968,SEND,DATA_RETRY,AB,AD,150
44361,SEND,DATA_RETRY,AB,AD,150
44442,RECEIVE,ACK,AD,AB,0
45767,SEND,DATA,AB,AD,150
47157,SEND,DATA_RETRY,AB,AD,150
48561,SEND,DATA_RETRY,AB,AD,150
48642,RECEIVE,ACK,AD,AB,0
49873,SEND,DATA,AB,AD,139
51176,SEND,DATA_RETRY,AB,AD,139
51257,RECEIVE,ACK,AD,AB,0
52564,SEND,DATA,AB,AD,147
52645,RECEIVE,ACK,AD,AB,0
53966,SEND,DATA,AB,AD,150
54047,RECEIVE,ACK,AD,AB,0
55370,SEND,DATA,AB,AD,150
55451,RECEIVE,ACK,AD,AB,0
56697,SEND,DATA,AB,AD,141
58018,SEND,DATA_RETRY,AB,AD,141
59367,SEND,DATA_RETRY,AB,AD,141
60693,SEND,DATA_RETRY,AB,AD,141
60774,RECEIVE,ACK,AD,AB,0
62096,SEND,DATA,AB,AD,150
62177,RECEIVE,ACK,AD,AB,0
