# delay [ms], bytes_sent
81,1
81,0
81,1
273,0
273,0
81,0
81,0
81,0
81,0
272,0
81,0
268,1
81,0
81,1
81,0
81,0
81,0
81,1
81,0
81,1
81,1
81,1
81,0
81,1
81,0
81,1
81,0
81,1
81,1
81,1
81,1
81,1
81,0
81,1
81,0
81,1
81,1
81,0
81,1
81,0
81,1
81,1
479,1
81,0
81,1
81,0
81,1
81,0
81,1
81,1
270,0
81,1
81,0
81,1
81,0
81,1
81,1
81,1
81,0
81,1
81,1
81,1
81,0
278,0
81,0
81,0
81,0
81,0
81,1
81,1
81,1
81,0
81,1
81,0
81,0
81,1
81,0
81,0
268,0
81,1
81,0
81,0
81,0
81,0
263,0
268,1
81,0
81,0
81,0
81,1
81,0
81,1
81,0
275,1
81,1
81,0
81,0
81,1
81,1
81,1
81,1
81,0
81,1
81,0
81,0
81,0
81,1
81,1
81,1
269,1
81,1
81,0
81,0
81,0
81,0
81,0
276,1
81,0
265,0
81,0
81,1
81,0
276,1
81,0
81,0
81,0
81,0
81,0
81,0
81,0
81,0
81,1
81,1
81,1
81,1
81,0
81,0
81,1
81,0
81,0
81,1
81,0
81,1
81,0
81,1
81,1
81,1
81,1
81,0
81,0
81,1
270,0
81,1
81,0
81,0
81,0
81,0
280,1
81,0
81,1
462,1
81,0
81,0
81,0
277,1
81,1
81,1
81,0
81,0
81,0
81,0
81,0
81,1
81,0
81,0
81,0
81,0
81,1
81,1
81,1
81,0
81,0
81,1
81,0
81,1
81,0
81,1
81,0
81,1
81,0
81,0
81,1
81,1
81,0
81,0
267,0
81,0
81,1
81,0
81,1
81,0
81,0
81,0
81,0
81,1
81,0
81,0
81,0
81,0
271,0
81,0
81,0
81,0
81,0
271,1
81,0
81,0
81,0
81,0
81,0
81,1
81,1
81,0
81,0
81,1
81,0
81,0
81,0
81,0
81,0
81,0
81,1
81,1
81,0
81,1
81,0
81,0
81,1
81,0
654,1
81,0
81,1
81,1
81,0
81,0
81,0
81,1
81,0
81,0
81,0
81,0
276,1
81,1
467,1
81,1
81,0
81,0
81,0
81,1
81,1
81,0
81,0
81,0
81,1
81,1
81,0
81,0
81,1
81,1
81,0
271,1
81,1
81,0
81,0
81,1
81,0
81,1
81,1
81,1
81,1
81,0
81,0
81,1
81,1
81,1
81,0
81,0
81,0
81,0
81,1
81,0
81,1
268,1
81,1
81,1
81,0
81,0
81,1
279,1
81,1
81,1
81,1
81,1
81,1
81,1
