# timestamp [ms], type, package_type, source, dest, package_size
1732,SEND,DATA,AD,AB,150
1813,RECEIVE,ACK,AB,AD,0
3073,SEND,DATA,AD,AB,144
3154,RECEIVE,ACK,AB,AD,0
4343,SEND,DATA,AD,AB,135
4424,RECEIVE,ACK,AB,AD,0
5717,SEND,DATA,AD,AB,148
5798,RECEIVE,ACK,AB,AD,0
7004,SEND,DATA,AD,AB,137
7085,RECEIVE,ACK,AB,AD,0
8329,SEND,DATA,AD,AB,142
8410,RECEIVE,ACK,AB,AD,0
9638,SEND,DATA,AD,AB,140
9719,RECEIVE,ACK,AB,AD,0
10762,SEND,DATA,AD,AB,117
10843,RECEIVE,ACK,AB,AD,0
12154,SEND,DATA,AD,AB,150
12235,RECEIVE,ACK,AB,AD,0
13408,SEND,DATA,AD,AB,133
13489,RECEIVE,ACK,AB,AD,0
14735,SEND,DATA,AD,AB,142
14816,RECEIVE,ACK,AB,AD,0
16125,SEND,DATA,AD,AB,150
16206,RECEIVE,ACK,AB,AD,0
17524,SEND,DATA,AD,AB,150
17605,RECEIVE,ACK,AB,AD,0
18760,SEND,DATA,AD,AB,131
18841,RECEIVE,ACK,AB,AD,0
20151,SEND,DATA,AD,AB,150
20232,RECEIVE,ACK,AB,AD,0
21454,SEND,DATA,AD,AB,139
21535,RECEIVE,ACK,AB,AD,0
22837,SEND,DATA,AD,AB,149
22918,RECEIVE,ACK,AB,AD,0
24018,SEND,DATA,AD,AB,124
24099,RECEIVE,ACK,AB,AD,0
25240,SEND,DATA,AD,AB,129
25321,RECEIVE,ACK,AB,AD,0
26446,SEND,DATA,AD,AB,127
26527,RECEIVE,ACK,AB,AD,0
27603,SEND,DATA,AD,AB,121
27684,RECEIVE,ACK,AB,AD,0
28758,SEND,DATA,AD,AB,121
28839,RECEIVE,ACK,AB,AD,0
30062,SEND,DATA,AD,AB,139
30143,RECEIVE,ACK,AB,AD,0
31290,SEND,DATA,AD,AB,130
32515,SEND,DATA_RETRY,AD,AB,130
32596,RECEIVE,ACK,AB,AD,0
33616,SEND,DATA,AD,AB,114
33697,RECEIVE,ACK,AB,AD,0
35006,SEND,DATA,AD,AB,150
35087,RECEIVE,ACK,AB,AD,0
36318,SEND,DATA,AD,AB,140
36399,RECEIVE,ACK,AB,AD,0
37619,SEND,DATA,AD,AB,139
37700,RECEIVE,ACK,AB,AD,0
38769,SEND,DATA,AD,AB,120
38850,RECEIVE,ACK,AB,AD,0
40159,SEND,DATA,AD,AB,150
40240,RECEIVE,ACK,AB,AD,0
41520,SEND,DATA,AD,AB,146
42874,SEND,DATA_RETRY,AD,AB,146
42955,RECEIVE,ACK,AB,AD,0
44087,SEND,DATA,AD,AB,128
44168,RECEIVE,ACK,AB,AD,0
45366,SEND,DATA,AD,AB,136
45447,RECEIVE,ACK,AB,AD,0
46686,SEND,DATA,AD,AB,141
46767,RECEIVE,ACK,AB,AD,0
48063,SEND,DATA,AD,AB,148
48144,RECEIVE,ACK,AB,AD,0
49383,SEND,DATA,AD,AB,141
49464,RECEIVE,ACK,AB,AD,0
50701,SEND,DATA,AD,AB,141
50782,RECEIVE,ACK,AB,AD,0
51808,SEND,DATA,AD,AB,115
51889,RECEIVE,ACK,AB,AD,0
52988,SEND,DATA,AD,AB,124
53069,RECEIVE,ACK,AB,AD,0
54273,SEND,DATA,AD,AB,137
54354,RECEIVE,ACK,AB,AD,0
55664,SEND,DATA,AD,AB,150
55745,RECEIVE,ACK,AB,AD,0
57006,SEND,DATA,AD,AB,144
57087,RECEIVE,ACK,AB,AD,0
58292,SEND,DATA,AD,AB,137
59569,SEND,DATA_RETRY,AD,AB,137
60854,SEND,DATA_RETRY,AD,AB,137
60935,RECEIVE,ACK,AB,AD,0
62246,SEND,DATA,AD,AB,150
62327,RECEIVE,ACK,AB,AD,0
