# timestamp [ms], type, package_type, source, dest, package_size
599,SEND,DATA,AD,AB,10
680,RECEIVE,ACK,AB,AD,0
809,SEND,DATA,AD,AB,4
890,RECEIVE,ACK,AB,AD,0
988,SEND,DATA,AD,AB,0
1069,RECEIVE,ACK,AB,AD,0
1167,SEND,DATA,AD,AB,0
1248,RECEIVE,ACK,AB,AD,0
1394,SEND,DATA,AD,AB,6
1475,RECEIVE,ACK,AB,AD,0
1656,SEND,DATA,AD,AB,10
1737,RECEIVE,ACK,AB,AD,0
1917,SEND,DATA,AD,AB,10
1998,RECEIVE,ACK,AB,AD,0
2178,SEND,DATA,AD,AB,10
2259,RECEIVE,ACK,AB,AD,0
2357,SEND,DATA,AD,AB,0
2438,RECEIVE,ACK,AB,AD,0
2534,SEND,DATA,AD,AB,0
2615,RECEIVE,ACK,AB,AD,0
2795,SEND,DATA,AD,AB,10
2876,RECEIVE,ACK,AB,AD,0
2972,SEND,DATA,AD,AB,0
3053,RECEIVE,ACK,AB,AD,0
3231,SEND,DATA,AD,AB,10
3312,RECEIVE,ACK,AB,AD,0
3416,SEND,DATA,AD,AB,1
3497,RECEIVE,ACK,AB,AD,0
3594,SEND,DATA,AD,AB,0
3675,RECEIVE,ACK,AB,AD,0
3798,SEND,DATA,AD,AB,3
3879,RECEIVE,ACK,AB,AD,0
4055,SEND,DATA,AD,AB,10
4136,RECEIVE,ACK,AB,AD,0
4312,SEND,DATA,AD,AB,10
4393,RECEIVE,ACK,AB,AD,0
4571,SEND,DATA,AD,AB,10
4652,RECEIVE,ACK,AB,AD,0
4750,SEND,DATA,AD,AB,0
4831,RECEIVE,ACK,AB,AD,0
5002,SEND,DATA,AD,AB,9
5083,RECEIVE,ACK,AB,AD,0
5181,SEND,DATA,AD,AB,0
5366,SEND,DATA_RETRY,AD,AB,0
5447,RECEIVE,ACK,AB,AD,0
5626,SEND,DATA,AD,AB,10
5707,RECEIVE,ACK,AB,AD,0
5804,SEND,DATA,AD,AB,0
5885,RECEIVE,ACK,AB,AD,0
6061,SEND,DATA,AD,AB,10
6142,RECEIVE,ACK,AB,AD,0
6319,SEND,DATA,AD,AB,10
6400,RECEIVE,ACK,AB,AD,0
6571,SEND,DATA,AD,AB,9
6652,RECEIVE,ACK,AB,AD,0
