# timestamp [ms], type, package_type, source, dest, package_size
525,SEND,DATA,AD,AB,1
606,RECEIVE,ACK,AB,AD,0
701,SEND,DATA,AD,AB,0
782,RECEIVE,ACK,AB,AD,0
878,SEND,DATA,AD,AB,0
959,RECEIVE,ACK,AB,AD,0
1057,SEND,DATA,AD,AB,0
1138,RECEIVE,ACK,AB,AD,0
1233,SEND,DATA,AD,AB,0
1314,RECEIVE,ACK,AB,AD,0
1411,SEND,DATA,AD,AB,0
1492,RECEIVE,ACK,AB,AD,0
1597,SEND,DATA,AD,AB,1
1678,RECEIVE,ACK,AB,AD,0
1774,SEND,DATA,AD,AB,0
1855,RECEIVE,ACK,AB,AD,0
1962,SEND,DATA,AD,AB,1
2043,RECEIVE,ACK,AB,AD,0
2147,SEND,DATA,AD,AB,1
2228,RECEIVE,ACK,AB,AD,0
2326,SEND,DATA,AD,AB,0
2407,RECEIVE,ACK,AB,AD,0
2502,SEND,DATA,AD,AB,0
2583,RECEIVE,ACK,AB,AD,0
2680,SEND,DATA,AD,AB,0
2762,RECEIVE,ACK,AB,AD,0
2867,SEND,DATA,AD,AB,1
2948,RECEIVE,ACK,AB,AD,0
3043,SEND,DATA,AD,AB,0
3124,RECEIVE,ACK,AB,AD,0
3219,SEND,DATA,AD,AB,0
3300,RECEIVE,ACK,AB,AD,0
3397,SEND,DATA,AD,AB,0
3478,RECEIVE,ACK,AB,AD,0
3576,SEND,DATA,AD,AB,0
3657,RECEIVE,ACK,AB,AD,0
3763,SEND,DATA,AD,AB,1
3844,RECEIVE,ACK,AB,AD,0
3952,SEND,DATA,AD,AB,1
4033,RECEIVE,ACK,AB,AD,0
4137,SEND,DATA,AD,AB,1
4219,RECEIVE,ACK,AB,AD,0
4314,SEND,DATA,AD,AB,0
4395,RECEIVE,ACK,AB,AD,0
4491,SEND,DATA,AD,AB,0
4572,RECEIVE,ACK,AB,AD,0
4679,SEND,DATA,AD,AB,1
4760,RECEIVE,ACK,AB,AD,0
4867,SEND,DATA,AD,AB,1
4948,RECEIVE,ACK,AB,AD,0
5054,SEND,DATA,AD,AB,1
5137,RECEIVE,ACK,AB,AD,0
5232,SEND,DATA,AD,AB,0
5313,RECEIVE,ACK,AB,AD,0
5409,SEND,DATA,AD,AB,0
5490,RECEIVE,ACK,AB,AD,0
5585,SEND,DATA,AD,AB,0
5666,RECEIVE,ACK,AB,AD,0
5763,SEND,DATA,AD,AB,0
5844,RECEIVE,ACK,AB,AD,0
5939,SEND,DATA,AD,AB,0
6020,RECEIVE,ACK,AB,AD,0
6117,SEND,DATA,AD,AB,0
6198,RECEIVE,ACK,AB,AD,0
6305,SEND,DATA,AD,AB,1
6386,RECEIVE,ACK,AB,AD,0
6493,SEND,DATA,AD,AB,1
6574,RECEIVE,ACK,AB,AD,0
6681,SEND,DATA,AD,AB,1
6762,RECEIVE,ACK,AB,AD,0
6868,SEND,DATA,AD,AB,1
6949,RECEIVE,ACK,AB,AD,0
7046,SEND,DATA,AD,AB,0
7127,RECEIVE,ACK,AB,AD,0
7231,SEND,DATA,AD,AB,1
7313,RECEIVE,ACK,AB,AD,0
7411,SEND,DATA,AD,AB,0
7492,RECEIVE,ACK,AB,AD,0
7588,SEND,DATA,AD,AB,0
7669,RECEIVE,ACK,AB,AD,0
7773,SEND,DATA,AD,AB,1
7854,RECEIVE,ACK,AB,AD,0
7952,SEND,DATA,AD,AB,0
8033,RECEIVE,ACK,AB,AD,0
8140,SEND,DATA,AD,AB,1
8221,RECEIVE,ACK,AB,AD,0
8326,SEND,DATA,AD,AB,1
8407,RECEIVE,ACK,AB,AD,0
8503,SEND,DATA,AD,AB,0
8584,RECEIVE,ACK,AB,AD,0
8692,SEND,DATA,AD,AB,1
