# delay [ms], bytes_sent
81,50
81,50
81,50
676,50
670,50
81,50
81,50
81,28
81,50
654,48
81,50
81,31
81,40
670,50
81,50
81,27
81,50
81,50
81,44
81,32
671,50
81,37
81,30
674,50
81,50
81,50
672,50
81,25
677,50
81,29
81,44
81,44
81,46
81,35
81,43
81,28
81,50
81,50
81,46
475,25
81,50
674,50
81,40
81,50
81,50
617,43
81,50
81,29
81,43
81,18
678,50
81,39
81,50
81,29
679,50
81,43
81,50
81,50
81,50
81,50
81,25
81,50
81,50
650,47
81,48
81,50
81,45
675,50
81,50
1234,48
81,50
1861,50
81,21
81,50
81,50
81,50
81,27
81,39
81,47
81,42
81,20
81,47
81,44
81,50
674,50
81,50
81,36
671,50
672,50
81,34
